Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
Category 14f,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory encompasses violations of our Community Guidelines, specifically under our violence and threats and violent actors policies, including content that shows the use of violence and content showing or purporting to show disturbing scenes from before, during, or after violent events.This subcategory also includes violations of our Merchant and Advertising Guidelines related to sensitive content.Addtionally, included in this category is content reported through our European Union Illegal Content Reporting Form for ""denying or condoning crimes against humanity"" and ""graphic violence"". These categories include denial of genocides, war crimes and other crimes against humanity, and gore/graphic wounds and mutilitation, beatings, excessive blood, and corpses.This subcategory also includes orders from EU Member States' authorities to provide information related to assault, domestic violence, and murder.  "
Category 15,Other violation of provider’s terms and conditions,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,"This category encompasses violations of our Community Guidelines, specifically under our adult sexual content and nudity policy. We remove or limit the distribution of  sexual content or visible intimate body parts, including:- Sexually explicit depictions or descriptions.- Sexually suggestive depictions or descriptions.- Visible intimate body parts (e.g. genitals, anus, breasts or buttocks).- Promotion of erotic practices like BD/SM.- Promotion of commercial sexual services like escort services, sexual chats or webcams.- Instructions, tools or services for creating sexually explicit or nudity content (e.g. “nudifiers”).- Instructions, tools or services for intimate image abuse or financial sextortion.- Sexual enhancement products.- Non-consensual creation and/or distribution of intimate images including intimate image abuse (referred to as “NCII” or “IBSA”), upskirting, down-blousing and hidden camera images, or the threat to do so (referred to as “sextortion”). This category also includes violations of our Advertising and Merchant Guidelines related to adult products and merchants which do not offer products directly, such as affiliated marketers or wholesale retailers.  "
Category 15a,Adult sexual material,KEYWORD_ADULT_SEXUAL_MATERIAL,"This subcategory encompasses violations of our Community Guidelines under our adult sexual content and nudity policy, as well as violations of our Advertising and Merchant Guidelines related to adult content."
Category 15b,Age-specific restrictions,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,We have not mapped any of our policies to this subcategory.
Category 15c,Geographical requirements,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,This subcategory encompasses violations of our Merchant Guidelines related to automotive merchants from countries which we do not currently support.
Category 15d,Goods/services not permitted to be offered on the platform,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,This subcategory encompasses violations of our Advertising and Merchant Guidelines related to restricted or prohibited services.
Category 15e,Language requirements,KEYWORD_LANGUAGE_REQUIREMENTS,This subcategory encompasses violations of our Advertising Guidelines related to country specific guidelines on local languages.
Category 15f,Nudity,KEYWORD_NUDITY,This subcategory encompasses violations of our Community Guidelines and our Merchant Guidelines related to nudity.
Category 15g,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory encompasses violations of our Advertising and Merchant Guidelines related to standards we set for the editorial quality of advertising on Pinterest.It also includes violations of our Terms of Services related to users who abuse our notices or complaints channels by repeatedly submitting clearly unfounded notices or complaints.Additionally, this subcategory includes enforcement actions taken against content or accounts of users located in the EU, where the enforcement action is based on a violation of law outside the EU and its Member States."
Category 16,Type of illegal content not specified by the public authority,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,This category encompasses orders from EU Member States' authorities where the issuing authority omitted a reference to a legal ground.
Category 17,Type of alleged illegal content not specified by the notifier,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,"This category encompasses notices received via our European Union Illegal Content Reporting Form where the alleged illegality cannot be deduced from the information provided by the reporter. It also includes content reported through our European Union Illegal Content Reporting Form for ""nudity or pornography"" and ""other"". These categories include dissemination of pornographic content and behavior that does not match any of the categories listed in the form. We have included these in this category because there is no other appropriate category available."
